V1	V(N002,N003)	I(D1)
-1.180000000000000e+00	-1.179999e+00	-2.521180e-09
-1.170000000000000e+00	-1.169999e+00	-2.521170e-09
-1.160000000000000e+00	-1.159999e+00	-2.521160e-09
-1.150000000000000e+00	-1.149999e+00	-2.521150e-09
-1.140000000000000e+00	-1.140000e+00	-2.521140e-09
-1.130000000000000e+00	-1.130000e+00	-2.521130e-09
-1.120000000000000e+00	-1.120000e+00	-2.521120e-09
-1.110000000000000e+00	-1.110000e+00	-2.521110e-09
-1.100000000000000e+00	-1.100000e+00	-2.521100e-09
-1.090000000000000e+00	-1.089999e+00	-2.521090e-09
-1.080000000000000e+00	-1.079999e+00	-2.521080e-09
-1.070000000000000e+00	-1.069999e+00	-2.521070e-09
-1.060000000000000e+00	-1.059999e+00	-2.521060e-09
-1.050000000000000e+00	-1.049999e+00	-2.521050e-09
-1.040000000000000e+00	-1.039999e+00	-2.521040e-09
-1.030000000000000e+00	-1.029999e+00	-2.521030e-09
-1.020000000000000e+00	-1.020000e+00	-2.521020e-09
-1.010000000000000e+00	-1.010000e+00	-2.521010e-09
-1.000000000000000e+00	-9.999995e-01	-2.521000e-09
-9.900000000000002e-01	-9.899995e-01	-2.520990e-09
-9.799999999999995e-01	-9.799995e-01	-2.520980e-09
-9.699999999999998e-01	-9.699995e-01	-2.520970e-09
-9.600000000000000e-01	-9.599995e-01	-2.520960e-09
-9.500000000000002e-01	-9.499995e-01	-2.520950e-09
-9.399999999999995e-01	-9.399995e-01	-2.520940e-09
-9.299999999999997e-01	-9.299995e-01	-2.520930e-09
-9.199999999999999e-01	-9.199995e-01	-2.520920e-09
-9.100000000000001e-01	-9.099995e-01	-2.520910e-09
-9.000000000000004e-01	-8.999995e-01	-2.520900e-09
-8.899999999999997e-01	-8.899995e-01	-2.520890e-09
-8.799999999999999e-01	-8.799995e-01	-2.520880e-09
-8.700000000000001e-01	-8.699995e-01	-2.520870e-09
-8.600000000000003e-01	-8.599995e-01	-2.520860e-09
-8.499999999999996e-01	-8.499995e-01	-2.520850e-09
-8.399999999999999e-01	-8.399995e-01	-2.520840e-09
-8.300000000000001e-01	-8.299995e-01	-2.520830e-09
-8.200000000000003e-01	-8.199995e-01	-2.520820e-09
-8.099999999999996e-01	-8.099995e-01	-2.520810e-09
-7.999999999999998e-01	-7.999995e-01	-2.520800e-09
-7.900000000000000e-01	-7.899995e-01	-2.520790e-09
-7.800000000000002e-01	-7.799995e-01	-2.520780e-09
